2019-12-30 17:23:27.494 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$b0d5aa16] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-30 17:23:28.194 [main] INFO  com.example.gradleDemo.DataEurekaApplication - The following profiles are active: eureka
2019-12-30 17:23:29.733 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-30 17:23:29.733 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-30 17:23:29.774 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
2019-12-30 17:23:29.950 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-12-30 17:23:30.297 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=2b0ceecb-f84e-3ace-a862-f487f4cde9f5
2019-12-30 17:23:30.449 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$94bba719] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-30 17:23:30.571 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$b0d5aa16] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-30 17:23:31.306 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8881 (http)
2019-12-30 17:23:31.327 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8881"]
2019-12-30 17:23:31.339 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-30 17:23:31.339 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-12-30 17:23:31.533 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-30 17:23:31.533 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3318 ms
2019-12-30 17:23:31.747 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-12-30 17:23:31.747 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-30 17:23:31.778 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@74ba6ff5
2019-12-30 17:23:33.950 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-12-30 17:23:34.186 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-12-30 17:23:34.186 [main] INFO  com.codingapi.txlcn.tc.corelog.H2DbHelper - Init H2 DATABASE at C:\MrX\cloud\multigradle\.txlcn\micro-weather-data-eureka-8881
2019-12-30 17:23:34.459 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-12-30 17:23:34.459 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-30 17:23:35.043 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-30 17:23:36.514 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-12-30 17:23:36.639 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-12-30 17:23:36.690 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-12-30 17:23:37.209 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-12-30 17:23:37.209 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-12-30 17:23:37.393 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-12-30 17:23:37.393 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-12-30 17:23:37.719 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-12-30 17:23:38.025 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-12-30 17:23:38.025 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-12-30 17:23:38.025 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-12-30 17:23:38.031 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-12-30 17:23:38.031 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-12-30 17:23:38.033 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-12-30 17:23:38.033 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-12-30 17:23:38.311 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-12-30 17:23:38.311 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-12-30 17:23:38.320 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-12-30 17:23:38.322 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1577697818322 with initial instances count: 1
2019-12-30 17:23:38.331 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application MICRO-WEATHER-DATA-EUREKA with eureka with status UP
2019-12-30 17:23:38.331 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1577697818331, current=UP, previous=STARTING]
2019-12-30 17:23:38.341 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MICRO-WEATHER-DATA-EUREKA/host.docker.internal:micro-weather-data-eureka:8881: registering service...
2019-12-30 17:23:38.362 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8881"]
2019-12-30 17:23:38.392 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MICRO-WEATHER-DATA-EUREKA/host.docker.internal:micro-weather-data-eureka:8881 - registration status: 204
2019-12-30 17:23:38.400 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8881 (http) with context path ''
2019-12-30 17:23:38.403 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8881
2019-12-30 17:23:38.403 [main] INFO  com.example.gradleDemo.DataEurekaApplication - Started DataEurekaApplication in 13.236 seconds (JVM running for 14.488)
2019-12-30 17:23:38.453 [main] INFO  c.c.t.txmsg.netty.impl.NettyRpcClientInitializer - Try connect socket(/127.0.0.1:8070) - count 1
2019-12-30 17:23:39.057 [Thread-10] INFO  com.codingapi.txlcn.tc.txmsg.TCSideRpcInitCallBack - Send init message to TM[/127.0.0.1:8070]
2019-12-30 17:23:39.095 [main] INFO  com.codingapi.txlcn.tc.corelog.txc.TxcLogHelper - Txc log table finish (H2 DATABASE)
2019-12-30 17:23:39.095 [main] INFO  c.c.txlcn.tc.corelog.aspect.AspectLogHelper - Aspect log table finished (H2 DATABASE)
2019-12-30 17:23:39.312 [Thread-10] INFO  com.codingapi.txlcn.tc.txmsg.TCSideRpcInitCallBack - Finally, determined dtx time is 8000ms, tm rpc timeout is 1000 ms, machineId is 28
2019-12-30 17:23:39.328 [Thread-10] INFO  com.codingapi.txlcn.tc.txmsg.TMSearcher - Searching for more TM...
2019-12-30 17:23:39.344 [Thread-10] INFO  com.codingapi.txlcn.tc.txmsg.TMSearcher - TC[micro-weather-data-eureka:8881] established TM cluster successfully!
2019-12-30 17:23:39.344 [Thread-10] INFO  com.codingapi.txlcn.tc.txmsg.TMSearcher - TM cluster's size: 1
